,TIME,NZ,NY
0,HH:MM:SS.FFF,G's,G's
1, 00:04:12.125,1.00391,-0.00781
2, 00:04:12.188,,
3, 00:04:12.250,1.00977,-0.00391
4, 00:04:12.313,,
5, 00:04:12.375,1.00781,-0.00781
6, 00:04:12.438,,
7, 00:04:12.500,1.00977,-0.00977
8, 00:04:12.563,,
9, 00:04:12.625,1.00781,-0.00977
10, 00:04:12.688,,
11, 00:04:12.750,1.00977,-0.00684
12, 00:04:12.813,,
13, 00:04:12.875,1.00586,-0.00488
14, 00:04:12.938,,
15, 00:04:13.000,1.01172,-0.00781
16, 00:04:13.063,,
17, 00:04:13.125,1.00586,-0.00488
18, 00:04:13.188,,
19, 00:04:13.250,1.00781,-0.00684
20, 00:04:13.313,,
21, 00:04:13.375,1.00977,-0.00781
22, 00:04:13.438,,
23, 00:04:13.500,1.00977,-0.00781
24, 00:04:13.563,,
25, 00:04:13.625,1.00977,-0.00781
26, 00:04:13.688,,
27, 00:04:13.750,1.01172,-0.0127
28, 00:04:13.813,,
29, 00:04:13.875,1.00781,-0.00781
30, 00:04:13.938,,
31, 00:04:14.000,1.00781,-0.00488
32, 00:04:14.063,,
33, 00:04:14.125,1.01172,-0.01172
34, 00:04:14.188,,
35, 00:04:14.250,1.01172,-0.00488
36, 00:04:14.313,,
37, 00:04:14.375,1.00586,-0.00684
38, 00:04:14.438,,
39, 00:04:14.500,1.01367,-0.00781
40, 00:04:14.563,,
41, 00:04:14.625,1.00781,-0.00781
42, 00:04:14.688,,
43, 00:04:14.750,1.00977,-0.00488
44, 00:04:14.813,,
45, 00:04:14.875,1.01172,-0.00488
46, 00:04:14.938,,
47, 00:04:15.000,1.00977,-0.00488
48, 00:04:15.063,,
49, 00:04:15.125,1.00977,-0.00488
50, 00:04:15.188,,
51, 00:04:15.250,1.00781,-0.00977
52, 00:04:15.313,,
53, 00:04:15.375,1.01367,-0.00684
54, 00:04:15.438,,
55, 00:04:15.500,1.01172,-0.00977
56, 00:04:15.563,,
57, 00:04:15.625,1.00781,-0.00684
58, 00:04:15.688,,
59, 00:04:15.750,1.00977,-0.00391
60, 00:04:15.813,,
61, 00:04:15.875,1.00781,-0.01172
62, 00:04:15.938,,
63, 00:04:16.000,1.00586,-0.00488
64, 00:04:16.063,,
65, 00:04:16.125,1.00977,-0.01172
66, 00:04:16.188,,
67, 00:04:16.250,1.01172,-0.00684
68, 00:04:16.313,,
69, 00:04:16.375,1.00977,-0.00684
70, 00:04:16.438,,
71, 00:04:16.500,1.00781,-0.00488
72, 00:04:16.563,,
73, 00:04:16.625,1.00977,-0.00684
74, 00:04:16.688,,
75, 00:04:16.750,1.01367,-0.00781
76, 00:04:16.813,,
77, 00:04:16.875,1.00781,-0.00684
78, 00:04:16.938,,
79, 00:04:17.000,1.01172,-0.00977
80, 00:04:17.063,,
81, 00:04:17.125,1.00977,-0.0127
82, 00:04:17.188,,
83, 00:04:17.250,1.01172,-0.00781
84, 00:04:17.313,,
85, 00:04:17.375,1.00977,-0.00684
86, 00:04:17.438,,
87, 00:04:17.500,1.00977,-0.00488
88, 00:04:17.563,,
89, 00:04:17.625,1.01367,-0.00684
90, 00:04:17.688,,
91, 00:04:17.750,1.00781,-0.00488
92, 00:04:17.813,,
93, 00:04:17.875,1.00977,-0.00781
94, 00:04:17.938,,
95, 00:04:18.000,1.01172,-0.00781
96, 00:04:18.063,,
97, 00:04:18.125,1.00977,-0.00977
98, 00:04:18.188,,
99, 00:04:18.250,1.01367,-0.00684
100, 00:04:18.313,,
101, 00:04:18.375,1.01172,-0.00781
102, 00:04:18.438,,
103, 00:04:18.500,1.00781,-0.00391
104, 00:04:18.563,,
105, 00:04:18.625,1.01367,-0.00977
106, 00:04:18.688,,
107, 00:04:18.750,1.00977,-0.00684
108, 00:04:18.813,,
109, 00:04:18.875,1.00781,-0.00781
110, 00:04:18.938,,
111, 00:04:19.000,1.00781,-0.00684
112, 00:04:19.063,,
113, 00:04:19.125,1.00977,-0.00488
114, 00:04:19.188,,
115, 00:04:19.250,1.01172,-0.00781
116, 00:04:19.313,,
117, 00:04:19.375,1.01172,-0.00391
118, 00:04:19.438,,
119, 00:04:19.500,1.01172,-0.00488
120, 00:04:19.563,,
121, 00:04:19.625,1.01367,-0.00684
122, 00:04:19.688,,
123, 00:04:19.750,1.00781,-0.00684
124, 00:04:19.813,,
125, 00:04:19.875,1.01172,-0.00977
126, 00:04:19.938,,
127, 00:04:20.000,1.00781,-0.00488
128, 00:04:20.063,,
129, 00:04:20.125,1.01172,-0.00684
130, 00:04:20.188,,
131, 00:04:20.250,1.00977,-0.00781
132, 00:04:20.313,,
133, 00:04:20.375,1.01172,-0.00781
134, 00:04:20.438,,
135, 00:04:20.500,1.00586,-0.00781
136, 00:04:20.563,,
137, 00:04:20.625,1.00977,-0.00781
138, 00:04:20.688,,
139, 00:04:20.750,1.00781,-0.00391
140, 00:04:20.813,,
141, 00:04:20.875,1.00977,-0.00977
142, 00:04:20.938,,
143, 00:04:21.000,1.00781,-0.00781
144, 00:04:21.063,,
145, 00:04:21.125,1.00977,-0.00977
146, 00:04:21.188,,
147, 00:04:21.250,1.00781,-0.00391
148, 00:04:21.313,,
149, 00:04:21.375,1.00586,-0.00684
150, 00:04:21.438,,
151, 00:04:21.500,1.00781,-0.00391
152, 00:04:21.563,,
153, 00:04:21.625,1.00977,-0.00781
154, 00:04:21.688,,
155, 00:04:21.750,1.00977,-0.00488
156, 00:04:21.813,,
157, 00:04:21.875,1.00977,-0.00781
158, 00:04:21.938,,
159, 00:04:22.000,1.01172,-0.00781
160, 00:04:22.063,,
161, 00:04:22.125,1.01367,-0.00781
162, 00:04:22.188,,
163, 00:04:22.250,1.01172,-0.00684
164, 00:04:22.313,,
165, 00:04:22.375,1.00977,-0.00977
166, 00:04:22.438,,
167, 00:04:22.500,1.01367,-0.00781
168, 00:04:22.563,,
169, 00:04:22.625,1.00977,-0.00684
170, 00:04:22.688,,
171, 00:04:22.750,1.00977,-0.00684
172, 00:04:22.813,,
173, 00:04:22.875,1.00977,-0.00781
174, 00:04:22.938,,
175, 00:04:23.000,1.00781,-0.00488
176, 00:04:23.063,,
177, 00:04:23.125,1.01172,-0.01172
178, 00:04:23.188,,
179, 00:04:23.250,1.01172,-0.00195
180, 00:04:23.313,,
181, 00:04:23.375,1.00977,-0.01172
182, 00:04:23.438,,
183, 00:04:23.500,1.00977,-0.00977
184, 00:04:23.563,,
185, 00:04:23.625,1.00977,-0.00781
186, 00:04:23.688,,
187, 00:04:23.750,1.00977,-0.00781
188, 00:04:23.813,,
189, 00:04:23.875,1.00977,-0.00391
190, 00:04:23.938,,
191, 00:04:24.000,1.01172,-0.00977
192, 00:04:24.063,,
193, 00:04:24.125,1.00586,-0.00684
194, 00:04:24.188,,
195, 00:04:24.250,1.01172,-0.00684
196, 00:04:24.313,,
197, 00:04:24.375,1.01172,-0.00684
198, 00:04:24.438,,
199, 00:04:24.500,1.01172,-0.00977
200, 00:04:24.563,,
201, 00:04:24.625,1.00977,-0.00684
202, 00:04:24.688,,
203, 00:04:24.750,1.00586,-0.00488
204, 00:04:24.813,,
205, 00:04:24.875,1.01172,-0.00977
206, 00:04:24.938,,
207, 00:04:25.000,1.00781,-0.00391
208, 00:04:25.063,,
209, 00:04:25.125,1.01172,-0.00391
210, 00:04:25.188,,
211, 00:04:25.250,1.00977,-0.0127
212, 00:04:25.313,,
213, 00:04:25.375,1.00977,-0.00488
214, 00:04:25.438,,
215, 00:04:25.500,1.01172,-0.00781
216, 00:04:25.563,,
217, 00:04:25.625,1.01172,-0.00781
218, 00:04:25.688,,
219, 00:04:25.750,1.00586,-0.00781
220, 00:04:25.813,,
221, 00:04:25.875,1.00781,-0.00781
222, 00:04:25.938,,
223, 00:04:26.000,1.00781,-0.01465
224, 00:04:26.063,,
225, 00:04:26.125,1.01367,-0.0127
226, 00:04:26.188,,
227, 00:04:26.250,1.01367,0
228, 00:04:26.313,,
229, 00:04:26.375,1.00391,-0.00781
230, 00:04:26.438,,
231, 00:04:26.500,1.00781,-0.00195
232, 00:04:26.563,,
233, 00:04:26.625,1.00781,-0.0127
234, 00:04:26.688,,
235, 00:04:26.750,1.00781,-0.00781
236, 00:04:26.813,,
237, 00:04:26.875,1.00781,-0.00391
238, 00:04:26.938,,
239, 00:04:27.000,1.00977,-0.00391
240, 00:04:27.063,,
241, 00:04:27.125,1.01367,-0.00684
242, 00:04:27.188,,
243, 00:04:27.250,1.00977,-0.00781
244, 00:04:27.313,,
245, 00:04:27.375,1.00781,-0.00781
246, 00:04:27.438,,
247, 00:04:27.500,1.01367,-0.00684
248, 00:04:27.563,,
249, 00:04:27.625,1.00781,-0.00684
250, 00:04:27.688,,
251, 00:04:27.750,1.01367,-0.00391
252, 00:04:27.813,,
253, 00:04:27.875,1.00977,-0.00195
254, 00:04:27.938,,
255, 00:04:28.000,1.01563,-0.00977
256, 00:04:28.063,,
257, 00:04:28.125,1.01367,-0.00781
258, 00:04:28.188,,
259, 00:04:28.250,1.00977,-0.00781
260, 00:04:28.313,,
261, 00:04:28.375,1.01172,-0.00781
262, 00:04:28.438,,
263, 00:04:28.500,1.00977,-0.00488
264, 00:04:28.563,,
265, 00:04:28.625,1.01172,-0.00781
266, 00:04:28.688,,
267, 00:04:28.750,1.00781,-0.00684
268, 00:04:28.813,,
269, 00:04:28.875,1.01172,-0.0127
270, 00:04:28.938,,
271, 00:04:29.000,1.00586,-0.00195
272, 00:04:29.063,,
273, 00:04:29.125,1.01172,-0.00684
274, 00:04:29.188,,
275, 00:04:29.250,1.01367,-0.00488
276, 00:04:29.313,,
277, 00:04:29.375,1.01367,-0.00391
278, 00:04:29.438,,
279, 00:04:29.500,1.01172,-0.0127
280, 00:04:29.563,,
281, 00:04:29.625,1.00586,-0.00684
282, 00:04:29.688,,
283, 00:04:29.750,1.01367,-0.00781
284, 00:04:29.813,,
285, 00:04:29.875,1.00586,-0.00488
286, 00:04:29.938,,
287, 00:04:30.000,1.01172,-0.00781
288, 00:04:30.063,,
289, 00:04:30.125,1.01172,-0.00684
290, 00:04:30.188,,
291, 00:04:30.250,1.00586,-0.01172
292, 00:04:30.313,,
293, 00:04:30.375,1.00977,-0.00684
294, 00:04:30.438,,
295, 00:04:30.500,1.00391,-0.00488
296, 00:04:30.563,,
297, 00:04:30.625,1.01172,-0.00684
298, 00:04:30.688,,
299, 00:04:30.750,1.00977,-0.00684
300, 00:04:30.813,,
301, 00:04:30.875,1.00781,-0.00781
302, 00:04:30.938,,
303, 00:04:31.000,1.00977,-0.00781
304, 00:04:31.063,,
305, 00:04:31.125,1.00391,-0.00391
306, 00:04:31.188,,
307, 00:04:31.250,1.01367,-0.00488
308, 00:04:31.313,,
309, 00:04:31.375,1.00781,-0.00488
310, 00:04:31.438,,
311, 00:04:31.500,1.01172,-0.00781
312, 00:04:31.563,,
313, 00:04:31.625,1.00781,-0.00684
314, 00:04:31.688,,
315, 00:04:31.750,1.00781,-0.00684
316, 00:04:31.813,,
317, 00:04:31.875,1.00977,-0.00977
318, 00:04:31.938,,
319, 00:04:32.000,1.01367,-0.00684
320, 00:04:32.063,,
321, 00:04:32.125,1.00977,-0.00977
322, 00:04:32.188,,
323, 00:04:32.250,1.00977,-0.00977
324, 00:04:32.313,,
325, 00:04:32.375,1.01367,-0.00488
326, 00:04:32.438,,
327, 00:04:32.500,1.01172,-0.00684
328, 00:04:32.563,,
329, 00:04:32.625,1.01172,-0.00977
330, 00:04:32.688,,
331, 00:04:32.750,1.01172,-0.00977
332, 00:04:32.813,,
333, 00:04:32.875,1.00977,-0.00781
334, 00:04:32.938,,
335, 00:04:33.000,1.01172,-0.00684
336, 00:04:33.063,,
337, 00:04:33.125,1.00977,0
338, 00:04:33.188,,
339, 00:04:33.250,1.01367,-0.00977
340, 00:04:33.313,,
341, 00:04:33.375,1.01172,-0.00684
342, 00:04:33.438,,
343, 00:04:33.500,1.01172,-0.00488
344, 00:04:33.563,,
345, 00:04:33.625,1.00977,-0.00977
346, 00:04:33.688,,
347, 00:04:33.750,1.00781,-0.00488
348, 00:04:33.813,,
349, 00:04:33.875,1.00977,-0.00781
350, 00:04:33.938,,
351, 00:04:34.000,1.01172,-0.00684
352, 00:04:34.063,,
353, 00:04:34.125,1.01367,-0.00977
354, 00:04:34.188,,
355, 00:04:34.250,1.00977,-0.00195
356, 00:04:34.313,,
357, 00:04:34.375,1.01367,-0.00488
358, 00:04:34.438,,
359, 00:04:34.500,1.00781,-0.01172
360, 00:04:34.563,,
361, 00:04:34.625,1.00977,-0.00391
362, 00:04:34.688,,
363, 00:04:34.750,1.01172,-0.00195
364, 00:04:34.813,,
365, 00:04:34.875,1.00977,-0.00195
366, 00:04:34.938,,
367, 00:04:35.000,1.01172,-0.01172
368, 00:04:35.063,,
369, 00:04:35.125,1.00977,-0.00488
370, 00:04:35.188,,
371, 00:04:35.250,1.00977,-0.00977
372, 00:04:35.313,,
373, 00:04:35.375,1.00586,-0.00781
374, 00:04:35.438,,
375, 00:04:35.500,1.00781,-0.00781
376, 00:04:35.563,,
377, 00:04:35.625,1.00977,-0.00684
378, 00:04:35.688,,
379, 00:04:35.750,1.00977,-0.00391
380, 00:04:35.813,,
381, 00:04:35.875,1.00781,-0.00391
382, 00:04:35.938,,
383, 00:04:36.000,1.00977,-0.00977
384, 00:04:36.063,,
385, 00:04:36.125,1.00781,-0.01172
386, 00:04:36.188,,
387, 00:04:36.250,1.00781,-0.00684
388, 00:04:36.313,,
389, 00:04:36.375,1.00977,-0.00488
390, 00:04:36.438,,
391, 00:04:36.500,1.00977,-0.01172
392, 00:04:36.563,,
393, 00:04:36.625,1.00781,-0.00391
394, 00:04:36.688,,
395, 00:04:36.750,1.01367,-0.00391
396, 00:04:36.813,,
397, 00:04:36.875,1.00977,-0.01465
398, 00:04:36.938,,
399, 00:04:37.000,1.01172,-0.00684
400, 00:04:37.063,,
401, 00:04:37.125,1.01758,-0.00977
402, 00:04:37.188,,
403, 00:04:37.250,0.99805,-0.00781
404, 00:04:37.313,,
405, 00:04:37.375,1.00781,-0.01172
406, 00:04:37.438,,
407, 00:04:37.500,1.01367,-0.01563
408, 00:04:37.563,,
409, 00:04:37.625,1.00586,0
410, 00:04:37.688,,
411, 00:04:37.750,1.00781,-0.01172
412, 00:04:37.813,,
413, 00:04:37.875,1.00977,-0.00195
414, 00:04:37.938,,
415, 00:04:38.000,1.00977,-0.00781
416, 00:04:38.063,,
417, 00:04:38.125,1.01172,-0.01172
418, 00:04:38.188,,
419, 00:04:38.250,1.00586,-0.00488
420, 00:04:38.313,,
